9755,43016.5500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_TRANSACTION_ID,ACTIVITY_DATE,ACTIVITY_ID,ACTIVITY_TYPE,PARENT_MO_ACTIVITY_ID,PARENT_MS_ACTIVITY_ID,TAX_AMOUNT,GROSS_AMOUNT,CURRENCY,PRODUCT_ID,PRODUCT_NAME,AUTHORIZATION_ID,REFUND_AMOUNT,REFUND_REASON,REFUND_COMMENT,TAX_CITY_NAME,TAX_CITY_TAX,TAX_CITY_TAX_RATE,TAX_CITY_TAX_TYPE,TAX_COUNTY_CODE,TAX_COUNTY_NAME,TAX_COUNTY_TAX,TAX_COUNTY_TAX_RATE,TAX_COUNTY_TAX_TYPE,TAX_STATE_NAME,TAX_STATE_TAX,TAX_STATE_TAX_RATE,TAX_STATE_TAX_TYPE,TAX_COUNTRY_NAME,TAX_COUNTRY_TAX,TAX_COUNTRY_TAX_RATE,TAX_COUNTRY_TAX_TYPE,TAX_CATEGORY,TAX_ZIP,ACCEPTANCE_DATE,REMITTANCE_AMOUNT,REMITTANCE_REVSHARE_AMOUNT,REMITTANCE_REVSHARE_RULE,MS_TAX_AMOUNT
C636F9CB-D5C2-497B-8FA4-9D4EE66725B5,4/6/2015 7:26:58 AM,4/6/2015 7:26:58 AM,1,,,1.6700,9.9900,EUR,,<Kraken Chest><GAME INSIGHT GLOBAL LIMITED>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,7.0700,1.2500,8,0
60404C79-2F27-49B9-8224-55FA5A7E6BE5,4/4/2015 5:29:36 AM,4/4/2015 5:29:36 AM,1,,,0.1700,0.9900,EUR,,<Volles Leben-Set><Disney>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,0.7000,0.1200,8,0
9C352165-44A4-44C2-970A-E3B0B7258C8A,4/3/2015 7:14:10 PM,4/3/2015 7:14:10 PM,1,,,3.3300,19.9900,EUR,,<Truhe voll Edelsteine><Gameloft.>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,14.1600,2.5000,8,0
666BF0B4-5355-4262-87B9-E924E90F6972,4/1/2015 2:34:20 PM,4/1/2015 2:34:20 PM,1,,,1.6700,9.9900,EUR,,<Eimer voll Edelsteine><Gameloft.>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,7.0700,1.2500,8,0
85B7C9D4-D1CE-421B-8ED6-5BD18E581B04,4/1/2015 5:29:28 AM,4/1/2015 5:29:28 AM,1,,,0.5000,2.9900,EUR,,<Wetter Online Pro><WetterOnline Meteorologische Dienstleistungen GmbH>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,2.1200,0.3700,15,0
25E2F2B2-DD89-46B2-940E-6E1A5A2E231A,4/6/2015 5:43:39 PM,4/6/2015 5:43:39 PM,1,,,0.6700,3.9900,EUR,,<Exploration Base><Andrzej Chomiak>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,2.8200,0.5000,8,0
E91E3049-0353-4ED1-B114-F70345D584F6,4/2/2015 9:53:09 AM,4/2/2015 9:53:09 AM,1,,,0.1700,0.9900,EUR,,<350 M?nzen><LOTUM GmbH>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,0.7000,0.1200,8,0
975D567A-724C-40E6-B8C2-265DEB4961EA,4/2/2015 9:51:47 AM,4/2/2015 9:51:47 AM,1,,,3.5000,20.9900,EUR,,<10000 M?nzen><LOTUM GmbH>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,14.8700,2.6200,8,0
2DC78082-ADD7-41FF-98B7-1C566CDCE978,4/1/2015 1:38:45 PM,4/1/2015 1:38:45 PM,1,,,0.1700,0.9900,EUR,,<Small Donation><Free Download Unlimited>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,0.7000,0.1200,15,0
BC4478F0-3BDD-494C-997F-0589065990C5,4/3/2015 4:07:43 PM,4/3/2015 4:07:43 PM,1,,,0.1700,0.9900,EUR,,<Ideas for Strips><Cabapps!>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,0.7000,0.1200,15,0
0EA5656F-69CC-4A9E-A8F6-21F756AA6B7F,4/3/2015 7:42:52 AM,4/3/2015 7:42:52 AM,1,,,3.3300,19.9900,EUR,,<Truhe voll Edelsteine><Gameloft.>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,14.1600,2.5000,8,0
670C2DE4-EB9C-41B0-A442-24EE44C9B1F3,4/3/2015 7:08:04 AM,4/3/2015 7:08:04 AM,1,,,3.3300,19.9900,EUR,,<900 gems><Lucky Game>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,14.1600,2.5000,8,0
A76BB14F-6E66-45E3-9A84-1812A424E8C1,4/4/2015 6:37:41 AM,4/4/2015 6:37:41 AM,1,,,0.3300,1.9900,EUR,,<Upgrade auf Pro-alle Funktionen><App House>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,1.4100,0.2500,15,0
21BD0C71-B61B-48E6-ABB4-50B0ADCB5E67,4/5/2015 12:22:56 PM,4/5/2015 12:22:56 PM,1,,,0.1700,0.9900,EUR,,<Model graphics><FlightRadar24 AB>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,0.7000,0.1200,15,0
024FFAEE-41CA-4791-AEF3-8236CEA2F10C,4/4/2015 1:09:24 PM,4/4/2015 1:09:24 PM,1,,,3.3300,19.9900,EUR,,<900 gems><Lucky Game>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,14.1600,2.5000,8,0
22A1BB0E-92DD-4E03-8911-E05FA9BA32D1,4/3/2015 7:36:56 AM,4/3/2015 7:36:56 AM,1,,,3.3300,19.9900,EUR,,<Truhe voll Edelsteine><Gameloft.>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,14.1600,2.5000,8,0
385E7C9A-80EA-4598-B404-4C802DEE9329,4/3/2015 4:56:07 AM,4/3/2015 4:56:07 AM,1,,,1.6700,9.9900,EUR,,<ELITE-WAGEN-PAKET><Gameloft.>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,7.0700,1.2500,8,0
5D60E127-99F7-401A-9BC8-E5539A77415C,4/6/2015 2:57:41 PM,4/6/2015 2:57:41 PM,1,,,0.5000,2.9900,EUR,,<Einstein? Gehirntrainer><BBG Entertainment GmbH>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,2.1200,0.3700,8,0
9BFFFB90-E1CB-4923-AD19-88C2C3BA9983,4/2/2015 5:51:37 PM,4/2/2015 5:51:37 PM,1,,,3.3300,19.9900,EUR,,<Truhe voll Edelsteine><Gameloft.>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,14.1600,2.5000,8,0
43EBB3D7-402A-4CD5-9510-86CA6B53CC7E,4/4/2015 9:46:31 AM,4/4/2015 9:46:31 AM,1,,,3.1700,18.9900,EUR,,<250x Gold Bars package><king.com>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,13.4500,2.3700,8,0
1A123C1E-A822-4312-BC4A-D0DAFA9AD59B,4/3/2015 7:10:31 AM,4/3/2015 7:10:31 AM,1,,,0.8300,4.9900,EUR,,<165 gems><Lucky Game>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,3.5400,0.6200,8,0
2F237334-C62F-4F84-88CC-EE328FF04CC6,4/5/2015 8:38:35 AM,4/5/2015 8:38:35 AM,1,,,0.1700,0.9900,EUR,,<Einheiten-Umrechnung><GadgetWE>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,0.7000,0.1200,15,0
CFE8F16C-5DA5-411F-ADAD-522F0EA6DFEE,4/2/2015 6:30:33 AM,4/2/2015 6:30:33 AM,1,,,0.5000,2.9900,EUR,,<Brutus Purchase><Hutch Games>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,2.1200,0.3700,8,0
A4B3363E-24BA-4998-BA48-C99292F2B0A8,4/2/2015 11:50:24 AM,4/2/2015 11:50:24 AM,1,,,1.6700,9.9900,EUR,,<GeoGPS><Orologas Mihail>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,7.0700,1.2500,15,0
4A4FB86D-BA55-4520-82FC-74B3D9AB93F9,4/6/2015 8:16:10 AM,4/6/2015 8:16:10 AM,1,,,0.1700,0.9900,EUR,,<Volles Pack Leben><Disney>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,0.7000,0.1200,8,0
A9824F65-1960-4F55-AA3D-C32C7CB24452,5/28/2015 1:56:10 PM,5/28/2015 1:56:10 PM,1,,,0.4200,2.4900,EUR,,<TouchMountain><MIT Innovation  AG>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,1.7600,0.3100,15,0
F1995120-2080-4A40-B1D9-00F1AAD4015C,5/29/2015 8:10:52 AM,5/29/2015 8:10:52 AM,1,,,1.6500,9.8900,EUR,,<Kiste Lebenspunkte><Electronic  Arts>,,,,,,,,,,,,,,,,,,,,,,,,6/28/2015 6:43:42 AM,7.0000,1.2400,8,0
